Date,Open,Close,Low,High
23/05/2017,655.76,646.05,644.61,658.85
24/05/2017,646.67,642.38,641.39,650.56
25/05/2017,643.87,645.31,642.78,649.69
26/05/2017,644.86,661.6,644.37,665.69
29/05/2017,662.34,671.88,661.7,676.51
30/05/2017,671.88,673.02,668.14,675.72
31/05/2017,677.55,663.98,661.7,677.55
01/06/2017,662.69,657.99,655.29,663.66
02/06/2017,658.75,656.13,652.09,663.09
05/06/2017,656.25,658.18,651.67,663.93
06/06/2017,663.14,650.51,649.27,663.14
07/06/2017,650.21,663.29,648.13,665.27
08/06/2017,663.68,658.68,657.79,666.16
09/06/2017,665.66,661.45,658.73,669.63
12/06/2017,658.48,653.45,652.54,658.7
13/06/2017,651.8,650.11,648.33,657.24
14/06/2017,652.79,671.56,651.67,672.35
